status[2],comments,hour[3],photo[4],age[5],shares,videos[6],link[7],string_length[8],newlines[9],likes
0,28,13,1,1324628479,1,0,0,30,0,121
0,26,2,1,1324587340,0,0,0,23,0,84
0,36,19,1,1324562044,3,0,0,56,0,126
0,26,8,1,1324349268,1,0,0,102,0,94
0,21,1,1,1324323291,4,0,0,25,0,143
0,12,14,1,1324285643,0,0,0,28,0,100
0,41,23,1,1324231546,2,0,0,21,0,156
0,41,20,1,1324134468,3,0,0,54,0,137
0,11,12,1,1324104763,2,0,0,37,0,95
0,22,13,1,1324023433,4,0,0,35,0,84
0,21,1,1,1323978840,3,0,0,240,3,62
0,55,17,1,1323948929,1,0,0,263,0,91
0,8,14,1,1323939902,1,0,0,82,2,97
0,10,17,1,1323862610,0,0,0,51,1,104
0,16,14,1,1323852433,1,0,0,98,0,55
0,48,20,1,1323790182,1,0,0,178,2,88
0,11,16,1,1323774999,4,0,0,56,0,82
0,16,1,0,1323720675,1,0,1,84,0,43
0,157,18,1,1323693192,2,0,0,124,2,102
0,15,13,1,1323676431,1,0,0,31,0,101
0,211,23,1,1323539325,1,0,0,100,0,68
0,487,18,1,1323522874,3,0,0,120,2,125
0,729,20,0,1323443189,2,0,1,179,2,66
0,544,15,1,1323426196,2,0,0,43,0,79
0,146,12,1,1323412820,12,0,0,74,0,111
0,330,22,1,1323363987,23,0,0,43,0,104
0,308,17,1,1323347209,21,0,0,34,0,83
0,303,4,0,1323297942,19,0,1,105,0,72
0,85,18,1,1323263806,25,0,0,62,1,101
0,130,13,1,1323245032,26,0,0,97,1,78
0,526,3,1,1323123125,33,0,0,84,0,90
0,80,1,1,1323116255,14,0,0,21,0,61
0,185,23,1,1323106352,14,0,0,69,0,71
0,167,15,1,1323080837,20,0,0,110,1,79
0,314,12,1,1323068047,11,0,0,117,1,64
0,119,0,1,1323024378,15,0,0,104,0,86
0,201,17,1,1322998354,12,0,0,40,0,101
0,62,17,1,1322913443,12,0,0,110,1,94
0,331,13,1,1322897919,16,0,0,122,1,80
0,97,3,1,1322863373,11,0,0,20,0,66
0,277,19,1,1322832702,25,0,0,32,0,125
0,47,15,1,1322819081,19,0,0,86,0,67
0,99,12,1,1322807708,18,0,0,170,2,69
0,68,1,1,1322771360,14,0,0,13,0,65
0,82,13,1,1322727098,19,0,0,164,1,81
0,46,1,1,1322682013,2,0,0,50,0,64
0,82,21,1,1322669546,24,0,0,98,1,105
0,46,13,1,1322640381,12,0,0,99,1,75
0,51,0,1,1322593282,11,0,0,56,1,74
0,19,19,1,1322574590,1,0,0,22,0,74
0,36,11,1,1322545468,4,0,0,233,1,52
0,117,19,1,1322488022,3,0,0,236,5,74
0,52,13,1,1322466231,15,0,0,29,0,98
0,13,1,1,1322424421,1,0,0,21,0,72
0,22,2,1,1322342352,1,0,0,26,0,78
0,24,15,1,1322301553,2,0,0,22,0,90
0,25,2,1,1322256389,0,0,0,53,0,60
0,40,12,1,1322205696,4,0,0,25,0,86
0,34,10,1,1322195585,3,0,0,103,0,61
0,29,23,1,1322158155,2,0,0,47,0,82
0,47,18,0,1322138272,0,1,0,168,2,93
0,15,10,1,1322111535,1,0,0,99,0,69
0,17,20,1,1322058631,20,0,0,93,1,102
0,111,16,1,1322047674,2,0,0,102,0,67
0,38,17,1,1321964158,0,0,0,196,2,60
0,15,9,1,1321935254,1,0,0,44,1,85
0,12,23,1,1321898793,1,0,0,94,1,56
0,9,13,1,1321776021,14,0,0,92,1,112
0,22,19,1,1321626020,0,0,0,53,0,93
0,18,14,1,1321607699,2,0,0,12,0,73
0,3,9,0,1321588889,0,0,1,79,0,32
0,15,12,1,1321513586,1,0,0,72,0,72
0,24,17,1,1321446225,0,0,0,131,0,55
0,15,11,0,1321424542,0,0,1,116,0,63
